机组类型,区域,团队,经销商（KAD）,地区,城市,县级,所属集团,企业名称,纳税人识别号,登记状态,电厂名称/项目名称,地址,投产时间,过去两年Dpal售出(L),投产时间标签,每年涡轮机补加预估KL,每年辅机用油KL,每年总售后用油KL,机组总容量(MW),机组1名称,机组1容量(MW),机组2名称,机组2容量(MW),机组3名称,机组3容量(MW),机组4名称,机组4容量(MW),机组5名称,机组5容量(MW),机组6名称,机组6容量(MW),机组7名称,机组7容量(MW),机组8名称,机组8容量(MW),机组9名称,机组9容量(MW),机组10名称,机组10容量(MW),机组11名称,机组11容量(MW),机组12名称,机组12容量(MW),机组13名称,机组13容量(MW),机组14名称,机组14容量(MW),机组15名称,机组15容量(MW),机组16名称,机组16容量(MW),机组17名称,机组17容量(MW),机组18名称,机组18容量(MW),机组19名称,机组19容量(MW),机组20名称,机组20容量(MW),机组21名称,机组21容量(MW),机组22名称,机组22容量(MW),机组23名称,机组23容量(MW),机组24名称,机组24容量(MW),机组25名称,机组25容量(MW),机组26名称,机组26容量(MW),机组27名称,机组27容量(MW),机组28名称,机组28容量(MW),机组29名称,机组29容量(MW),机组30名称,机组30容量(MW),机组31名称,机组31容量(MW),机组32名称,机组32容量(MW),机组33名称,机组33容量(MW),机组34名称,机组34容量(MW),机组总容量(MW),机组1名称,机组1容量(MW),经度,纬度,机组总容量(MW),机组1名称,机组1容量(MW)
核电,华东,East,,浙江省,嘉兴市,海盐县,中国核工业集团有限公司,核电秦山联营有限公司,913304241000083927,存续,核电秦山联营有限公司,浙江嘉兴海盐县,2002/4/15, -   ,>10年,5.23,10.05,15,2718.00,#1,670,#2,708,#3,670,#4,670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,120.945556,30.525556,0.00,,
核电,华东,East,,浙江省,嘉兴市,海盐县,中国核工业集团有限公司,秦山第三核电有限公司,913304241429418854,存续,秦山三厂,浙江省海盐县,2002/12/31, -   ,>10年,5.68,10.92,17,1456.00,#1,728,#2,728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,120.945556,30.525556,0.00,,
核电,华东,East,,浙江省,嘉兴市,海盐县,中国核工业集团有限公司,秦山核电有限公司,913304242548444733,存续,秦山核电有限公司,浙江省嘉兴市海盐县,1991/12/15,72,>10年,2.73,5.25,8,2528.00,#1,350,#2,1089,#3,1089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,120.945556,30.525556,0.00,,
核电,华东,East,,浙江省,台州市,三门县,中国核工业集团有限公司,三门核电有限公司,91331022773136954N,存续,三门核电一期工程,浙江省台州市三门县健跳镇三门核电厂区,2018/11/5, -   ,5~8年,9.75,18.75,29,2500.00,#2,1250,1,1250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,121.472778,29.1025,0.00,,
水电-常规水电,华东,East,,安徽省,安庆市,太湖县,中国华能集团有限公司,华能花凉亭水电有限公司,91340825154020346E,存续,安徽省安庆市花凉亭水电站,安庆市太湖县晋熙镇花亭湖村,1981/10/1, -   ,>10年,0.08,0.15,0,40.00,#1,10,#2,10,#3,10,#4,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,116.155278,30.456389,0.00,,
水电-常规水电,华东,East,,安徽省,安庆市,岳西县,国家能源投资集团有限责任公司,安徽岳西天力水电有限责任公司,9134082874894102XN,存续,天马桥水电站,岳西县头陀镇,2007/4/11, -   ,>10年,0.02,0.05,0,6.40,1号机组,3.2,2号机组,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,116.273333,30.985556,0.00,,
水电-常规水电,华东,East,,安徽省,安庆市,岳西县,国家能源投资集团有限责任公司,国电安徽毛尖山水电有限公司,91340828154140241N,存续,毛尖山水电站,岳西县天堂镇建设西路89号,1966/1/1, -   ,>10年,0.12,0.23,0,30.00,1号机组,15,2号机组,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,116.360278,30.850556,0.00,,
水电-常规水电,华东,East,,安徽省,宣城市,泾县,中国大唐集团有限公司,大唐安徽发电有限公司陈村水力发电分公司,9134182315346050XF,存续,中国大唐集团公司大唐陈村水力发电厂,安徽省宣城市泾县纪村,1975/7/1, -   ,>10年,0.39,0.75,1,184.00,1号机组,50,1号机组,17,2号机组,17,2号机组,50,3号机组,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,118.258889,30.765278,0.00,,
水电-常规水电,华东,East,,安徽省,宣城市,宁国市,国家能源投资集团有限责任公司,国电安徽毛尖山水电有限公司宁国分公司,91341881MA2URMK02Q,存续,月亮湖水电站,安徽省宁国市港口镇西村,2008/1/2, -   ,>10年,0.02,0.04,0,7.50,#1,2.5,#2,2.5,#3,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,118.914167,30.733889,0.00,,
水电-常规水电,华北,North,,北京市,密云区,密云区,中国华电集团有限公司,北京华电水电有限公司,91110228756749791G,存续,密云水电厂二期工程,北京市密云县溪翁庄镇,1975/2/1, -   ,>10年,0.08,0.15,0,20.00,#1,10,#2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,116.837778,40.463056,0.00,,
水电-常规水电,华北,North,,北京市,密云区,密云区,中国华电集团有限公司,北京华电水电有限公司,91110228756749791G,存续,密云水电厂一期工程,北京市密云县溪翁庄镇,1965/7/7, -   ,>10年,0.12,0.23,0,30.00,#3,15,#4,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,116.837778,40.463056,0.00,,
水电-常规水电,华北,North,,北京市,密云区,密云区,中国华电集团有限公司,北京华电水电有限公司,91110228756749791G,存续,北京华电水电有限公司白河电站,北京市密云区溪翁庄镇水库南线路219号 北京华电水电有限公司,2022/1/14, -   ,1~5年,0.12,0.23,0,30.00,#5,15,#6,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,116.840278,40.450556,0.00,,
水电-常规水电,华东,South,,福建省,福州市,永泰县,国家能源投资集团有限责任公司,永泰大樟溪界竹口水电有限公司,913501257463657510,存续,永泰界竹口水电站,永泰县赤锡乡荷溪村,2013/6/27, -   ,>10年,0.23,0.45,1,60.00,1号机组,30,2号机组,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,118.841944,25.865278,0.00,,
水电-常规水电,华东,South,,福建省,龙岩市,新罗区,中国华电集团有限公司,福建华电万安能源有限公司,91350800157829378W,存续,龙岩万安溪水电站增效扩容改造,龙岩市登高东路189号,2016/4/18, -   ,8~10年,0.12,0.23,0,46.50,#1,15.5,#2,15.5,#3,15.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,117.042655,25.098304,0.00,,
水电-常规水电,华东,South,,福建省,龙岩市,新罗区,中国华电集团有限公司,福建棉花滩水电开发有限公司,91350000158162202L,存续,白沙水电站,福建省龙岩市新罗区白沙镇,2006/11/1, -   ,>10年,0.27,0.53,1,70.00,1号机组,35,2号机组,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,117.228501,25.383104,0.00,,
水电-常规水电,华东,South,,福建省,龙岩市,永定区,中国华电集团有限公司,福建棉花滩水电开发有限公司,91350000158162202L,存续,棉花滩水电站,福建省永定县峰市乡,2001/7/1, -   ,>10年,1.17,2.25,3,600.00,3号机组,150,4号机组,150,棉花滩1号机组,150,棉花滩2号机组,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,116.583657,24.654572,0.00,,
水电-常规水电,华东,South,,福建省,龙岩市,漳平市,国家电力投资集团有限公司,漳平市华口水电有限公司,913508817821750662,存续,漳平市华口水电站,福建省龙岩市漳平市芦芝镇华寮村,2010/4/15, -   ,>10年,0.14,0.26,0,35.00,1号机组,17.5,2号机组,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,117.503720,25.268081,0.00,,
水电-常规水电,华东,South,,福建省,龙岩市,漳平市,国家电力投资集团有限公司,漳平市华口水电有限公司,913508817821750662,存续,漳平市华口水电站左岸小机组工程,福建省龙岩市漳平市芦芝镇华寮村,2012/8/30, -   ,>10年,0.02,0.05,0,3.20,3号机组,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,117.503720,25.268081,0.00,,
水电-常规水电,华东,South,,福建省,龙岩市,漳平市,中国华电集团有限公司,华电（漳平）能源有限公司,91350881157822846P,存续,龙岩市合溪水电站,福建省龙岩市漳平市西元乡基太村,2005/3/9, -   ,>10年,0.05,0.09,0,12.00,#1,6,#2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,117.371682,25.337157,0.00,,
水电-常规水电,华东,South,,福建省,龙岩市,漳平市,中国华电集团有限公司,漳平市永福水电发展有限公司,913508817395444010,存续,漳平市南盘石水电站,漳平市官田乡下浙村,2005/5/1, -   ,>10年,0.09,0.18,0,24.00,1号机组,12,2号机组,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,117.581512,25.048731,0.00,,
水电-常规水电,华东,South,,福建省,南平市,建瓯市,中国华电集团有限公司,福建省建瓯市兴光水电开发有限公司,91350783157194843Q,存续,建瓯市际头水库电站,建瓯市东游镇,2004/4/1, -   ,>10年,0.06,0.12,0,8.00,际头#1～#2机组,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,118.529245,27.060214,0.00,,
