机组类型,区域,团队,经销商（KAD）,地区,城市,县级,所属集团,企业名称,纳税人识别号,登记状态,电厂名称/项目名称,地址,投产时间,过去两年Dpal售出(L),投产时间标签,每年涡轮机补加预估KL,每年辅机用油KL,每年总售后用油KL,机组总容量(MW),机组1名称,机组1容量(MW),机组2名称,机组2容量(MW),机组3名称,机组3容量(MW),机组4名称,机组4容量(MW),机组5名称,机组5容量(MW),机组6名称,机组6容量(MW),机组7名称,机组7容量(MW),机组8名称,机组8容量(MW),机组9名称,机组9容量(MW),机组10名称,机组10容量(MW),机组11名称,机组11容量(MW),机组12名称,机组12容量(MW),机组13名称,机组13容量(MW),机组14名称,机组14容量(MW),机组15名称,机组15容量(MW),机组16名称,机组16容量(MW),机组17名称,机组17容量(MW),机组18名称,机组18容量(MW),机组19名称,机组19容量(MW),机组20名称,机组20容量(MW),机组21名称,机组21容量(MW),机组22名称,机组22容量(MW),机组23名称,机组23容量(MW),机组24名称,机组24容量(MW),机组25名称,机组25容量(MW),机组26名称,机组26容量(MW),机组27名称,机组27容量(MW),机组28名称,机组28容量(MW),机组29名称,机组29容量(MW),机组30名称,机组30容量(MW),机组31名称,机组31容量(MW),机组32名称,机组32容量(MW),机组33名称,机组33容量(MW),机组34名称,机组34容量(MW),机组总容量(MW),机组1名称,机组1容量(MW),经度,纬度,机组总容量(MW),机组1名称,机组1容量(MW)
火电-燃煤发电,华中,North,,河南省,新乡市,辉县市,中国华电集团有限公司,华电新乡发电有限公司,914107827538808237,存续,华电新乡发电有限公司,河南省新乡市辉县市吴村镇尚厂村,2007/4/19, -   ,>10年,5.15,9.90,15,1320.00,#1,660,#2,660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,113.513546,35.318209,0.00,,
火电-燃煤发电,华中,North,,河南省,新乡市,卫滨区,中国华电集团有限公司,华电渠东发电有限公司,914107006959974166,存续,华电渠东发电有限公司,河南省新乡市卫滨区午阳路5号,2012/11/14, -   ,>10年,2.57,4.95,8,660.00,#1,330,#2,330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,113.84414,35.26325,0.00,,
火电-燃煤发电,华中,North,,河南省,许昌市,禹州市,中国大唐集团有限公司,许昌龙岗发电有限责任公司,914110001742848328,存续,许昌龙岗发电有限责任公司,河南省许昌市禹州市产业集聚区龙岗工贸园区,2001/6/23,"47,234",>10年,2.73,5.25,8,2020.00,#1,350,#2,350,#3,660,#4,660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,113.36021,34.19543,0.00,,
火电-燃煤发电,华中,North,,河南省,郑州市,登封市,华润电力控股有限公司,华润电力登封有限公司,91410000717850643A,存续,华润电力登封有限公司,河南省郑州市登封市大冶镇刘碑村,2004/7/3,"3,553",>10年,2.57,4.95,8,1920.00,#1,330,#2,330,#3,630,#4,630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,113.20456,34.39872,0.00,,
火电-燃煤发电,华中,North,,河南省,郑州市,巩义市,中国大唐集团有限公司,大唐巩义发电有限责任公司,914101816672382365,存续,大唐巩义电厂上大压小2×660MW工程项目,河南省郑州市巩义市豫联工业园区,2019/10/9, -   ,5~8年,5.15,9.90,15,1320.00,#1,660,#2,660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,113.06012,34.78645,0.00,,
火电-燃煤发电,华中,North,,河南省,郑州市,荥阳市,国家能源投资集团有限责任公司,国能荥阳热电有限公司,91410182789150216G,存续,国能荥阳热电有限公司,河南省郑州市荥阳市国电大道一号,2010/11/16, -   ,>10年,4.91,9.45,14,1260.00,#1,630,#2,630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,113.43567,34.78789,0.00,,
火电-燃煤发电,华中,North,,河南省,驻马店市,遂平县,国家能源投资集团有限责任公司,国能驻马店热电有限公司,91411700671691439X,存续,国能驻马店热电有限公司,河南省驻马店市遂平县经济开发区兴业大道1318号,2011/1/25, -   ,>10年,2.57,4.95,8,660.00,#1,330,#2,330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,113.98745,33.12567,0.00,,
火电-燃煤发电,华中,North,,河南省,驻马店市,驿城区,华润电力控股有限公司,河南华润电力古城有限公司,914100007178611668,存续,河南华润电力古城有限公司,河南省驻马店市驿城区高新区古城街道办事处,2006/10/18, -   ,>10年,2.50,4.80,7,640.00,#1,320,#2,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,114.07543,32.96432,0.00,,
火电-燃煤发电,东北,North,,黑龙江省,大庆市,大同区,中国华能集团有限公司,华能新华发电有限责任公司,91230607129317965K,存续,华能新华发电有限责任公司,黑龙江省大庆市大同区新华屯,1979/9/2, -   ,>10年,1.72,3.30,5,550.00,#5,220,#6,330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,124.81123,45.98765,0.00,,
火电-燃煤发电,东北,North,,黑龙江省,大庆市,让胡路区,中国华能集团有限公司,华能大庆热电有限公司,912306005927162634,存续,华能大庆热电有限公司,黑龙江省大庆市让胡路区庆民街100号,2013/6/25,"3,135",>10年,2.73,5.25,8,700.00,#1,350,#2,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,124.85876,46.60234,0.00,,
火电-燃煤发电,东北,North,,黑龙江省,哈尔滨市,道里区,中国大唐集团有限公司,大唐黑龙江发电有限公司哈尔滨第一热电厂,91230102676974243A,存续,大唐黑龙江发电有限公司哈尔滨第一热电厂,黑龙江省哈尔滨市道里区新发镇建国村大唐热电厂,2010/1/11, -   ,>10年,2.34,4.50,7,600.00,#1,300,#2,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,126.51654,45.69876,0.00,,
火电-燃煤发电,东北,North,,黑龙江省,哈尔滨市,呼兰区,中国华电集团有限公司,华电能源股份有限公司哈尔滨第三发电厂,91230100769212838T,存续,华电能源股份有限公司哈尔滨第三发电厂,黑龙江省哈尔滨市呼兰区三电街1号,1986/1/29, -   ,>10年,1.56,3.00,5,1600.00,#1,200,#2,200,#3,600,#4,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,126.71123,45.93845,0.00,,
火电-燃煤发电,东北,North,,黑龙江省,哈尔滨市,南岗区,中国华电集团有限公司,中国华电集团哈尔滨发电有限公司,91230100127051980N,存续,中国华电集团哈尔滨发电有限公司,黑龙江省哈尔滨市南岗区文景街118号,2019/8/12,58,5~8年,0.20,0.38,1,102.00,#1,25,#2,25,#3,25,#4,12,#5,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,126.65789,45.73321,0.00,,
火电-燃煤发电,东北,North,,黑龙江省,哈尔滨市,平房区,国家能源投资集团有限责任公司,国能哈尔滨热电有限公司,912301086769877578,存续,国能哈尔滨热电有限公司,黑龙江省哈尔滨市平房区哈五公路601公里处,2013/11/27,"2,090",>10年,2.73,5.25,8,700.00,#1,350,#2,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,126.65812,45.54123,0.00,,
火电-燃煤发电,东北,North,,黑龙江省,哈尔滨市,香坊区,中国华电集团有限公司,哈尔滨热电有限责任公司,912301001270509108,存续,哈尔滨热电有限责任公司,黑龙江省哈尔滨市香坊区安通街125号,2006/12/1, -   ,>10年,2.34,4.50,7,600.00,#7,300,#8,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,126.66678,45.69345,0.00,,
火电-燃煤发电,东北,North,,黑龙江省,哈尔滨市,香坊区,中国华电集团有限公司,华电能源股份有限公司哈尔滨热电厂,91230100300879731E,存续,华电哈尔滨热电350MW上大压小扩建工程,黑龙江省哈尔滨市香坊区安通街125号,2017/9/27, -   ,8~10年,2.73,5.25,8,350.00,#9,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,126.66678,45.69345,0.00,,
火电-燃煤发电,东北,North,,黑龙江省,鹤岗市,东山区,中国华能集团有限公司,华能鹤岗发电有限公司,912304007027102770,存续,华能鹤岗发电有限公司,黑龙江省鹤岗市东山区新华镇,1998/11/20, -   ,>10年,2.34,4.50,7,1200.00,#1,300,#2,300,#3,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,130.407425,47.165389,0.00,,
火电-燃煤发电,东北,North,,黑龙江省,黑河市,北安市,国家能源投资集团有限责任公司,国能北安热电有限公司,912311811316773373,存续,国能北安热电有限公司,黑龙江省黑河市北安市北通公路零公里南侧,1997/12/10, -   ,>10年,0.39,0.75,1,100.00,#1,50,#2,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,126.505234,48.246712,0.00,,
火电-燃煤发电,东北,North,,黑龙江省,鸡西市,滴道区,中国大唐集团有限公司,大唐鸡西第二热电有限公司,912303006888651329,存续,大唐鸡西第二热电有限公司,黑龙江省鸡西市滴道区滴道煤电化循环经济园区,2011/7/1, -   ,>10年,2.34,4.50,7,600.00,#1,300,#2,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,130.844356,45.267821,0.00,,
火电-燃煤发电,东北,North,,黑龙江省,鸡西市,鸡东县,国家开发投资集团有限公司,黑龙江醇能热电有限公司,91230321MA1BF01P1L,存续,永安醇能电厂,黑龙江省鸡西市鸡东县永安镇永政村,2023/9/1, -   ,1~5年,0.23,0.45,1,30.00,#1,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,131.222145,45.215678,0.00,,
火电-燃煤发电,东北,North,,黑龙江省,鸡西市,鸡冠区,中国大唐集团有限公司,大唐鸡西热电有限责任公司,9123030070287268X6,存续,大唐鸡西热电有限责任公司,黑龙江省鸡西市鸡冠区发电厂院内,2003/4/16, -   ,>10年,0.98,1.88,3,250.00,#1,125,#2,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,130.982345,45.311234,0.00,,
火电-燃煤发电,东北,North,,黑龙江省,佳木斯市,东风区,中国华电集团有限公司,华电能源股份有限公司佳木斯热电厂,91230800677461415U,存续,华电能源股份有限公司佳木斯热电厂,黑龙江省佳木斯市东风区兴电社区,2008/11/7, -   ,>10年,2.34,4.50,7,600.00,#1,300,#2,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,130.413456,46.818765,0.00,,
火电-燃煤发电,东北,North,,黑龙江省,牡丹江市,阳明区,中国华电集团有限公司,华电能源股份有限公司牡丹江第二发电厂,91231000130218622C,存续,华电能源股份有限公司牡丹江第二发电厂,黑龙江省牡丹江市阳明区裕民路1486号,1991/3/31, -   ,>10年,1.64,3.15,5,1010.00,#6,210,#7,200,#8,300,#9,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,129.645678,44.596543,0.00,,
火电-燃煤发电,东北,North,,黑龙江省,七台河市,茄子河区,中国大唐集团有限公司,大唐七台河发电有限责任公司,91230900130053522E,存续,大唐七台河发电有限责任公司,黑龙江省七台河市茄子河区东进路6号,2001/12/14, -   ,>10年,2.73,5.25,8,1900.00,#1,350,#2,350,#3,600,#4,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,131.062345,45.79789,0.00,,
火电-燃煤发电,东北,North,,黑龙江省,齐齐哈尔市,富拉尔基区,中国华电集团有限公司,华电能源股份有限公司富拉尔基发电厂,91230200565166278K,存续,华电能源股份有限公司富拉尔基发电厂,黑龙江省齐齐哈尔市富拉尔基区新电街1号,1982/2/10, -   ,>10年,1.56,3.00,5,1200.00,#1,200,#2,200,#3,200,#4,200,#5,200,#6,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,123.633456,47.202345,0.00,,
火电-燃煤发电,东北,North,,黑龙江省,齐齐哈尔市,富拉尔基区,中国华电集团有限公司,华电能源股份有限公司富拉尔基热电厂,91230200565170066D,存续,华电富拉尔基热电上大压小1×350MW扩建工程,黑龙江省齐齐哈尔市富拉尔基区沿江路132号,2016/11/13, -   ,8~10年,2.73,5.25,8,350.00,#1,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,123.626789,47.205678,0.00,,
火电-燃煤发电,东北,North,,黑龙江省,齐齐哈尔市,建华区,中国华电集团有限公司,黑龙江华电齐齐哈尔热电有限公司,912302007553431166,存续,黑龙江华电齐齐哈尔热电有限公司,黑龙江省齐齐哈尔市建华区碾北公路1号,2007/9/9,800,>10年,2.34,4.50,7,600.00,#1,300,#2,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,123.951234,47.404567,0.00,,
火电-燃煤发电,东北,North,,黑龙江省,双鸭山市,宝清县,国家能源投资集团有限责任公司,国能宝清煤电化有限公司,912305237660316016,存续,神华国能宝清发电厂一期2×600MW机组新建工程项目,黑龙江省双鸭山市宝清县八五二农场五分场二队,2020/1/16,627,5~8年,4.68,9.00,14,1200.00,#1,600,#2,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,132.148567,46.402345,0.00,,
火电-燃煤发电,东北,North,,黑龙江省,双鸭山市,宝山区,国家能源投资集团有限责任公司,国能双鸭山发电有限公司,912305007027341807,存续,国能双鸭山发电有限公司,黑龙江省双鸭山市宝山区七星镇国能双鸭山发电有限公司,2007/12/29,209,>10年,4.68,9.00,14,1200.00,#5,600,#6,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,131.423456,46.593456,0.00,,
火电-燃煤发电,东北,North,,黑龙江省,双鸭山市,尖山区,中国大唐集团有限公司,大唐双鸭山热电有限公司,9123050073364572XM,存续,大唐双鸭山热电有限公司,黑龙江省双鸭山市尖山区工业开发区,2006/9/28, -   ,>10年,1.56,3.00,5,400.00,#1,200,#2,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,131.189234,46.618765,0.00,,
火电-燃煤发电,东北,North,,黑龙江省,绥化市,北林区,中国大唐集团有限公司,大唐绥化热电有限公司,91231200325838290K,存续,大唐绥化热电2×350MW超临界供热机组新建工程项目,黑龙江省绥化市北林区经济技术开发区,2017/12/2, -   ,8~10年,2.73,5.25,8,700.00,#1,350,#2,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,126.974567,46.671234,0.00,,
火电-燃煤发电,东北,North,,黑龙江省,伊春市,乌翠区,中国华能集团有限公司,华能伊春热电有限公司,91230700598216219Y,存续,华能伊春热电厂上大压小2×350MW级机组新建工程项目,黑龙江省伊春市乌马河区锦山街,2015/9/22, -   ,>10年,2.73,5.25,8,700.00,#1,350,#2,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,128.85789,47.69789,0.00,,
火电-燃煤发电,华中,South,,湖北省,鄂州市,华容区,中国长江三峡集团有限公司,湖北能源集团鄂州发电有限公司,91420700615789116A,存续,湖北能源集团鄂州发电有限公司,湖北省鄂州市华容区葛店镇电厂路,1998/12/1, -   ,>10年,2.57,4.95,8,1960.00,#1,330,#2,330,#3,650,#4,650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,114.618765,30.505678,0.00,,
火电-燃煤发电,华中,South,,湖北省,鄂州市,华容区,中国长江三峡集团有限公司,湖北能源集团鄂州发电有限公司,91420700615789116A,存续,湖北能源鄂州电厂三期2×1050MW机组工程项目,湖北省鄂州市华容区葛店镇电厂路,2019/4/30, -   ,5~8年,8.19,15.75,24,2100.00,#5,1050,#6,1050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,114.618765,30.505678,0.00,,
火电-燃煤发电,华中,South,,湖北省,黄石市,黄石港区,中国华电集团有限公司,华电湖北发电有限公司黄石热电分公司,914202005506606872,存续,华电湖北发电有限公司黄石热电分公司,湖北省黄石市黄石大道942号,2010/6/1, -   ,>10年,2.57,4.95,8,330.00,#210,330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,115.088123,30.222345,0.00,,
火电-燃煤发电,华中,South,,湖北省,黄石市,西塞山区,中国华电集团有限公司,湖北华电西塞山发电有限公司,91420000665463827R,存续,湖北华电西塞山发电有限公司,湖北省黄石市西塞山区黄石大道639号,2010/12/1, -   ,>10年,5.30,10.20,16,1360.00,#3,680,#4,680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,115.111234,30.20789,0.00,,
火电-燃煤发电,华中,South,,湖北省,黄石市,西塞山区,中国华电集团有限公司,湖北西塞山发电有限公司,91420000722041605E,存续,湖北西塞山发电有限公司,湖北省黄石市西塞山区黄石大道639号,2004/7/1, -   ,>10年,2.57,4.95,8,660.00,#1,330,#2,330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,115.111234,30.20789,0.00,,
火电-燃煤发电,华中,South,,湖北省,荆门市,东宝区,中国华能集团有限公司,华能荆门热电有限责任公司,914208025854508747,存续,华能荆门热电有限责任公司,湖北省荆门市东宝区东宝工业园荆东大道99号,2014/11/15,"56,518",>10年,2.73,5.25,8,700.00,#1,350,#2,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,112.215678,31.077654,0.00,,
火电-燃煤发电,华中,South,,湖北省,荆门市,掇刀区,国家能源投资集团有限责任公司,国能长源荆门发电有限公司,91420800760665777J,存续,国能长源荆门发电有限公司,湖北省荆门市掇刀区白庙路80号,2006/12/29, -   ,>10年,4.99,9.60,15,1280.00,#6,640,#7,640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,112.215243,30.985412,0.00,,
火电-燃煤发电,华中,South,,湖北省,荆州市,江陵县,中国华电集团有限公司,湖北华电江陵发电有限公司,914210243970873187,存续,华电江陵发电厂一期2×660MW机组工程项目,湖北省荆州市江陵县经济开发区华电路东侧,2017/12/31, -   ,8~10年,5.15,9.90,15,1320.00,#1,660,#2,660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,112.445821,30.125134,0.00,,
火电-燃煤发电,华中,South,,湖北省,荆州市,沙市区,国家能源投资集团有限责任公司,国能长源荆州热电有限公司,91421000662253584J,存续,国能长源荆州热电有限公司,湖北省荆州市沙市区开发区荆沙大道18号,2009/8/1, -   ,>10年,2.57,4.95,8,660.00,#1,330,#2,330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,112.285567,30.335291,0.00,,
火电-燃煤发电,华中,South,,湖北省,荆州市,沙市区,国家能源投资集团有限责任公司,国能长源荆州热电有限公司,91421000662253584J,存续,长源电力荆州热电二期2×350MW扩建工程,湖北省荆州市沙市区开发区荆沙大道18号,2023/9/19, -   ,1~5年,2.73,5.25,8,700.00,#3,350,#4,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,112.285567,30.335291,0.00,,
火电-燃煤发电,华中,South,,湖北省,随州市,曾都区,国家能源投资集团有限责任公司,国能长源随州发电有限公司,91421300MA49GRNC88,存续,国家能源随州电厂2×660MW新建工程项目,湖北省随州市曾都区淅河镇樊家冲村,2023/7/16, -   ,1~5年,5.15,9.90,15,1320.00,#1,660,#2,660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,113.515642,31.675718,0.00,,
火电-燃煤发电,华中,South,,湖北省,武汉市,青山区,国家能源投资集团有限责任公司,国电长源第一发电有限责任公司,91420000177605611M,存续,国电长源第一发电有限责任公司,湖北省武汉市青山区苏家湾,1996/8/10, -   ,>10年,2.57,4.95,8,330.00,#12,330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,114.435921,30.655234,0.00,,
火电-燃煤发电,华中,South,,湖北省,武汉市,青山区,国家能源投资集团有限责任公司,国能长源武汉青山热电有限公司,91420000770772103A,存续,国能长源武汉青山热电有限公司,湖北省武汉市青山区苏家湾,2011/8/27, -   ,>10年,2.73,5.25,8,700.00,#13,350,#14,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,114.435921,30.655234,0.00,,
火电-燃煤发电,华中,South,,湖北省,武汉市,新洲区,中国华能集团有限公司,华能武汉发电有限责任公司,9142010030024252XQ,存续,华能武汉发电有限责任公司,湖北省武汉市新洲区阳逻经济开发区平江大道特1号,1993/7/24,"9,714",>10年,2.57,4.95,8,2570.00,#1,330,#2,330,#3,330,#4,300,#5,640,#6,640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,114.595345,30.685812,0.00,,
火电-燃煤发电,华中,South,,湖北省,仙桃市,仙桃市,华润电力控股有限公司,华润电力（仙桃）有限公司,91429004329610082K,存续,华润仙桃2×660MW超超临界燃煤机组工程项目,湖北省仙桃市东城大道99号,2022/7/10, -   ,1~5年,5.15,9.90,15,1320.00,#1,660,#2,660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,113.485123,30.365456,0.00,,
火电-燃煤发电,华中,South,,湖北省,咸宁市,赤壁市,华润电力控股有限公司,华润电力湖北有限公司,9142000071463630XX,存续,华润电力湖北有限公司,湖北省咸宁市赤壁市发展大道99号,2004/7/1, -   ,>10年,2.57,4.95,8,2660.00,#1,330,#2,330,#3,1000,#4,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,113.885234,29.715678,0.00,,
火电-燃煤发电,华中,South,,湖北省,咸宁市,赤壁市,华润电力控股有限公司,华润电力湖北有限公司,9142000071463630XX,存续,华电力蒲圻电厂三期2×1000MW超超临界燃煤发电机组项目,湖北省咸宁市赤壁市发展大道99号,2025/9/3, -   ,<1年,7.80,15.00,23,2000.00,#5,1000,#6,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,113.885234,29.715678,0.00,,
火电-燃煤发电,华中,South,,湖北省,襄阳市,襄城区,中国华电集团有限公司,湖北华电襄阳发电有限公司,91420600757029016Y,存续,湖北华电襄阳发电有限公司,湖北省襄阳市襄城区余家湖,1998/1/1, -   ,>10年,2.57,4.95,8,2540.00,#1,330,#2,300,#3,300,#4,330,#5,640,#6,640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,112.145789,31.915234,0.00,,
火电-燃煤发电,华中,South,,湖北省,襄阳市,襄州区,华润电力控股有限公司,襄阳华润综合能源有限公司,914206006703947663,存续,襄阳华润综合能源有限公司,湖北省襄阳市襄州区高新区富康大道23号,1993/2/1, -   ,>10年,0.09,0.18,0,36.00,#2,12,#3,12,#4,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,112.195321,32.085412,0.00,,
火电-燃煤发电,华中,South,,湖北省,襄阳市,宜城市,中国长江三峡集团有限公司,湖北能源集团襄阳宜城发电有限公司,91420684MA49N12462,存续,湖北能源襄阳（宜城）2×1000MW超超临界燃煤机组工程,湖北省襄阳市宜城市襄阳宜城市小河镇电厂路1号,2023/7/14, -   ,1~5年,7.80,15.00,23,2000.00,#1,1000,#2,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,112.315567,31.575912,0.00,,
火电-燃煤发电,华中,South,,湖北省,孝感市,汉川市,国家能源投资集团有限责任公司,国电长源汉川第一发电有限公司,91420000707096907B,存续,国电长源汉川第一发电有限公司,湖北省孝感市汉川市经济开发区电厂路1号,1990/6/1, -   ,>10年,2.57,4.95,8,1320.00,#1,330,#2,330,#3,330,#4,330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,113.845123,30.615234,0.00,,
火电-燃煤发电,华中,South,,湖北省,孝感市,汉川市,国家能源投资集团有限责任公司,国能长源汉川发电有限公司,914209846764966404,存续,国能长源汉川发电有限公司,湖北省孝感市汉川市经济开发区电厂路1号,2012/12/22, -   ,>10年,7.80,15.00,23,1000.00,#5,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,113.845123,30.615234,0.00,,
火电-燃煤发电,华中,South,,湖北省,孝感市,汉川市,国家能源投资集团有限责任公司,国能长源汉川发电有限公司,914209846764966404,存续,国电汉川三期第二台100万千瓦机组（#6机组）扩建项目,湖北省孝感市汉川市经济开发区电厂路1号,2016/8/18, -   ,8~10年,7.80,15.00,23,1000.00,#6,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,113.845123,30.615234,0.00,,
